mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn__activation,param_nn__alpha,param_nn__batch_size,param_nn__hidden_layer_sizes,param_nn__learning_rate_init,param_nn__max_iter,param_nn__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
568.7056029319763,102.5134578993873,0.974050235748291,0.08835865856822218,relu,5e-05,32,"(150, 100, 50)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1556.6158928466632,-1584.570930380773,-1575.7163721676686,-1625.6239322417448,-1591.4408251583634,-1586.7935905590427,22.661556210439443,43
547.3253328323365,103.87815297902198,0.8317489147186279,0.06523283123262215,relu,5e-05,32,"(150, 100, 50)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1556.6158928466632,-1584.570930380773,-1575.7163721676686,-1625.6239322417448,-1591.4408251583634,-1586.7935905590427,22.661556210439443,43
580.9109861373902,44.38490136466572,0.6524940013885498,0.1645274216966667,relu,0.0002,35,"(160, 120, 60)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1573.2612594986042,-1582.8406407271277,-1590.3377680391102,-1595.0919922783237,-1600.0222175497859,-1588.3107756185902,9.419785357887662,45
665.7585154533386,37.81788386062519,0.7946710586547852,0.0638822569703583,relu,0.0002,35,"(160, 120, 60)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1573.2612594986042,-1582.8406407271277,-1590.3377680391102,-1595.0919922783237,-1600.0222175497859,-1588.3107756185902,9.419785357887662,45
737.174528837204,107.5139243035684,0.7074788570404053,0.04534967629262609,relu,0.0001,35,"(150, 100, 50)",0.001,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1574.0434704273114,-1581.3118073029834,-1608.332858197137,-1565.5207258891608,-1618.628714524664,-1589.5675152682513,20.41613165677205,47
743.0143142223358,100.35268057083992,0.7055322647094726,0.038090441250394666,relu,0.0001,35,"(150, 100, 50)",0.001,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1574.0434704273114,-1581.3118073029834,-1608.332858197137,-1565.5207258891608,-1618.628714524664,-1589.5675152682513,20.41613165677205,47
556.2473011016846,63.70102824579445,1.0990792274475099,0.41048612810559176,relu,0.0002,35,"(150, 100, 50)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1580.254334146655,-1572.2242315792173,-1607.2883286161652,-1612.4836202497547,-1576.7120842819545,-1589.7925197747493,16.683578127371703,49
548.5869636535645,63.9837907561574,1.0236655712127685,0.4807111841690208,relu,0.0002,35,"(150, 100, 50)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1580.254334146655,-1572.2242315792173,-1607.2883286161652,-1612.4836202497547,-1576.7120842819545,-1589.7925197747493,16.683578127371703,49
1287.8973921775819,173.0497434506481,0.8762251377105713,0.04153508596557963,relu,0.0002,32,"(150, 100, 50)",0.0005,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1598.2509344253785,-1622.7980244481623,-1607.808590689428,-1569.2701635194499,-1553.7005950685914,-1590.3656616302019,25.328397524057625,51
1277.9443147659301,184.59615823655793,0.8648576259613037,0.10393836067945375,relu,0.0002,32,"(150, 100, 50)",0.0005,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0002, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1598.2509344253785,-1622.7980244481623,-1607.808590689428,-1569.2701635194499,-1553.7005950685914,-1590.3656616302019,25.328397524057625,51
